1. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_0.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
2. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_1.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
3. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_10.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
4. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_100.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
5. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_101.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
6. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_102.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
7. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_103.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
8. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_104.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
9. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_105.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
10. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_106.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
11. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_107.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
12. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_108.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
13. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_109.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
14. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_11.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
15. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_110.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
16. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_111.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
17. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_112.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
18. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_113.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
19. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_114.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
20. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_115.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
21. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_116.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
22. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_117.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
23. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_118.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
24. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_119.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
25. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_12.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
26. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_120.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
27. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_121.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
28. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_122.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
29. Dosya: C:/Users/Mert/Desktop/VISEA/Train/Images\train_123.png, Geniþlik: 1242 piksel, Yükseklik: 375 piksel
